turbine_file,n_alarms,top_feature_1,top_feature_2,top_feature_3
0_cleaned.csv,1692,sensor_43_avg (+1.59σ),sensor_0_avg (+1.54σ),sensor_9_avg (+1.41σ)
10_cleaned.csv,475,sensor_19_avg_slope6h (+0.14σ),sensor_15_avg_slope6h (-0.13σ),sensor_17_avg_slope6h (-0.13σ)
13_cleaned.csv,2084,sensor_40_avg (+0.91σ),sensor_38_avg (+0.87σ),sensor_39_avg (+0.85σ)
14_cleaned.csv,1040,sensor_41_avg_dev24h (+0.47σ),sensor_15_avg_dev24h (+0.17σ),sensor_17_avg_dev24h (+0.17σ)
17_cleaned.csv,968,sensor_10_avg_slope6h (+0.10σ),sensor_36_avg_slope6h (+0.09σ),sensor_10_avg_dev24h (+0.11σ)
22_cleaned.csv,807,sensor_19_avg (+1.57σ),sensor_0_avg (+1.39σ),sensor_7_avg (+1.36σ)
24_cleaned.csv,879,sensor_14_avg_dev24h (+0.12σ),sensor_15_avg_dev24h (+0.10σ),sensor_16_avg_dev24h (+0.10σ)
25_cleaned.csv,1312,sensor_19_avg_slope6h (+0.02σ),sensor_19_avg_dev24h (+0.19σ),sensor_36_avg_dev24h (+0.03σ)
26_cleaned.csv,407,sensor_40_avg_slope6h (+0.21σ),sensor_39_avg_slope6h (+0.21σ),sensor_38_avg_slope6h (+0.22σ)
38_cleaned.csv,1413,sensor_0_avg (+1.33σ),sensor_43_avg (+1.23σ),sensor_13_avg_slope6h (+0.19σ)
3_cleaned.csv,1423,sensor_15_avg_slope6h (+0.10σ),sensor_17_avg_slope6h (+0.10σ),sensor_16_avg_slope6h (+0.10σ)
40_cleaned.csv,2901,sensor_41_avg (-2.73σ),sensor_14_avg (+0.98σ),sensor_12_avg (-1.61σ)
42_cleaned.csv,518,sensor_7_avg_slope6h (-0.01σ),sensor_11_avg_slope6h (-0.13σ),sensor_43_avg_slope6h (+0.08σ)
45_cleaned.csv,780,sensor_14_avg (+1.25σ),sensor_15_avg (+1.23σ),sensor_16_avg (+1.21σ)
51_cleaned.csv,1108,sensor_19_avg_slope6h (+0.06σ),sensor_38_avg_slope6h (+0.10σ),sensor_39_avg_slope6h (+0.11σ)
68_cleaned.csv,1094,sensor_6_avg (+1.65σ),sensor_53_avg (+1.65σ),sensor_0_avg (+1.63σ)
69_cleaned.csv,1133,sensor_7_avg_slope6h (-0.03σ),sensor_14_avg_dev24h (-0.22σ),sensor_13_avg_dev24h (-0.16σ)
71_cleaned.csv,993,sensor_12_avg_dev24h (-0.17σ),sensor_11_avg_dev24h (-0.13σ),sensor_12_avg (-0.43σ)
72_cleaned.csv,595,sensor_38_avg_slope6h (+0.40σ),sensor_39_avg_slope6h (+0.41σ),sensor_19_avg_slope6h (+0.31σ)
73_cleaned.csv,1239,sensor_40_avg_dev24h (-0.01σ),sensor_19_avg_dev24h (+0.13σ),sensor_13_avg (+1.04σ)
84_cleaned.csv,519,sensor_0_avg_dev24h (+0.74σ),sensor_0_avg_slope6h (+0.62σ),sensor_43_avg_slope6h (+0.66σ)
92_cleaned.csv,975,sensor_40_avg (+1.42σ),sensor_15_avg (+1.30σ),sensor_17_avg (+1.27σ)
